"filename", "language", "XML", "Java", "comment", "blank", "total"
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/drawable/ic_launcher_background.xml", "XML", 170, 0, 0, 1, 171
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/drawable/ic_mode_comment_black_24dp.xml", "XML", 9, 0, 0, 1, 10
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/drawable/ic_notifications_black_24dp.xml", "XML", 9, 0, 0, 1, 10
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/drawable/ic_person_black_24dp.xml", "XML", 9, 0, 0, 1, 10
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/drawable/ic_stars_black_24dp.xml", "XML", 9, 0, 0, 1, 10
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/drawable/setbar_bg.xml", "XML", 5, 0, 2, 1, 8
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/acticity_step.xml", "XML", 42, 0, 0, 7, 49
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/activity_about.xml", "XML", 47, 0, 0, 5, 52
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/activity_add_card.xml", "XML", 150, 0, 0, 16, 166
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/activity_detail.xml", "XML", 183, 0, 0, 26, 209
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/activity_information.xml", "XML", 72, 0, 0, 8, 80
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/activity_login.xml", "XML", 66, 0, 0, 6, 72
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/activity_main.xml", "XML", 30, 0, 0, 3, 33
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/activity_register.xml", "XML", 64, 0, 0, 7, 71
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/card_model.xml", "XML", 85, 0, 0, 15, 100
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/comment_model.xml", "XML", 53, 0, 0, 8, 61
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/fragment_dashboard.xml", "XML", 75, 0, 0, 14, 89
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/fragment_home.xml", "XML", 42, 0, 12, 7, 61
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/fragment_notifications.xml", "XML", 61, 0, 0, 7, 68
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/layout/fragment_second.xml", "XML", 5, 0, 0, 3, 8
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/menu/bottom_nav_menu.xml", "XML", 15, 0, 0, 5, 20
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/menu/deal_type_menu.xml", "XML", 6, 0, 0, 0, 6
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/menu/interest_type_menu.xml", "XML", 7, 0, 0, 0, 7
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/menu/lost_type_menu.xml", "XML", 6, 0, 0, 0, 6
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 5, 0, 0, 0, 5
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml", "XML", 5, 0, 0, 0, 5
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/navigation/mobile_navigation.xml", "XML", 22, 0, 0, 3, 25
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/values/colors.xml", "XML", 10, 0, 0, 1, 11
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/values/dimens.xml", "XML", 4, 0, 1, 1, 6
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/values/strings.xml", "XML", 6, 0, 0, 1, 7
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/values/styles.xml", "XML", 7, 0, 2, 4, 13
"/Users/zhanghanjian/gitee/MAD2020_FHW/homework/17343147_zhj/SYSUHelper/app/src/main/res/xml/network_security_config.xml", "XML", 10, 0, 1, 0, 11
"Total", "-", 1391, 2182, 67, 724, 4364
